item,Item-number,Unit-price,quantity,manufacturer,Item-type,description,date
range hood,1694184,189,1,Broan,Kitchen-appliance,30-in convertible hood range,01-27-2022
curtain rods,1239777,29.98,2,Easy Rod,wall fixture,40 to 120 in curtain rod,01-27-2022
screen frame clip,1175798,3.68,2,HM,wall fixture,fastener to keep screen frame on the window,01-27-2022
Catch-strike latch,689104,1.08,1,brainerd,door latch,latch for cabinet or closet,01-28-2022
Bar-bolt latch,3728813,3.28,2,zn,door latch,bar bolt latch for door,01-31-22
led bar light,2565452,18.98,1,ge,light,led light bar to replace car port light,02-08-2022
light bar installation,1033983,33.98,1,prismatic,light,light bar to replace car port light,02-09-2022
