project,Date-initiated,Date-finished,description,status
curtain rod installation,01-26-2022,01-28-2022,Installing 2 curtain rods in a bedroom,completed
closet latch,01-26-2022,,latch on hallway closet does not close; must replace latch ,incomplete
screen fastener,01-26-2022,01-27-2022,screen fastener needs to be replaced in bedroom windows,completed
front door jam,01-28-2022,01-28-2022,front door gets stuck when closing,incomplete
bathroom door missing,01-26-2022,,missing bathroom door inside master bedroom; special order on door,incomplete
closet doors missing,01-26-2022,,closet doors in all bedrooms are missing,incomplete
